data;estado;value;treated
2004-04-01;GO;118.54;0
2004-04-01;DF;118.54;0
2004-04-01;BA;114.94;0
2004-04-01;CE;116.11;0
2004-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-04-01;sao_paulo;114.45;0
2004-04-01;minas_gerais;114.16;0
2004-04-01;espirito_santo;118.13;0
2004-04-01;Rio_de_Janeiro;110.68;0
2004-05-01;SC;112.35;0
2004-05-01;parana;115.99;0
2004-05-01;RS;108.48;0
2004-05-01;GO;120.91;0
2004-05-01;DF;120.91;0
2004-05-01;BA;115.95;0
2004-05-01;CE;118.83;0
2004-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-05-01;sao_paulo;114.85;0
2004-05-01;minas_gerais;115.63;0
2004-05-01;espirito_santo;117.15;0
2004-05-01;Rio_de_Janeiro;110.97;0
2004-06-01;SC;111.8;0
2004-06-01;parana;115.4;0
2004-06-01;RS;108.6;0
2004-06-01;GO;119.56;0
2004-06-01;DF;119.56;0
2004-06-01;BA;115.98;0
2004-06-01;CE;118.72;0
2004-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-06-01;sao_paulo;114.2;0
2004-06-01;minas_gerais;115.86;0
2004-06-01;espirito_santo;120.75;0
2004-06-01;Rio_de_Janeiro;108.63;0
2004-07-01;SC;113.92;0
2004-07-01;parana;115.66;0
2004-07-01;RS;109.2;0
2004-07-01;GO;119.04;0
2004-07-01;DF;119.04;0
2004-07-01;BA;116.49;0
2004-07-01;CE;120.42;0
2004-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-07-01;sao_paulo;115.49;0
2004-07-01;minas_gerais;117.73;0
2004-07-01;espirito_santo;120.02;0
2004-07-01;Rio_de_Janeiro;111.41;0
2004-08-01;SC;113.42;0
2004-08-01;parana;115.57;0
2004-08-01;RS;109.27;0
2004-08-01;GO;122.16;0
2004-08-01;DF;122.16;0
2004-08-01;BA;118.64;0
2004-08-01;CE;120.04;0
2004-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-08-01;sao_paulo;115.25;0
2004-08-01;minas_gerais;116.5;0
2004-08-01;espirito_santo;116;0
2004-08-01;Rio_de_Janeiro;111.66;0
2004-09-01;SC;113.39;0
2004-09-01;parana;112.33;0
2004-09-01;RS;110.31;0
2004-09-01;GO;122.3;0
2004-09-01;DF;122.3;0
2004-09-01;BA;118.89;0
2004-09-01;CE;119.29;0
2004-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-09-01;sao_paulo;115.22;0
2004-09-01;minas_gerais;116.91;0
2004-09-01;espirito_santo;120.93;0
2004-09-01;Rio_de_Janeiro;111.59;0
2004-10-01;SC;114.26;0
2004-10-01;parana;116.33;0
2004-10-01;RS;109.86;0
2004-10-01;GO;123.17;0
2004-10-01;DF;123.17;0
2004-10-01;BA;119.47;0
2004-10-01;CE;120.21;0
2004-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-10-01;sao_paulo;116.26;0
2004-10-01;minas_gerais;117.38;0
2004-10-01;espirito_santo;121.81;0
2004-10-01;Rio_de_Janeiro;112.55;0
2004-11-01;SC;114.8;0
2004-11-01;parana;117.85;0
2004-11-01;RS;109.96;0
2004-11-01;GO;125.21;0
2004-11-01;DF;125.21;0
2004-11-01;BA;119.29;0
2004-11-01;CE;118.58;0
2004-11-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-11-01;sao_paulo;116.7;0
2004-11-01;minas_gerais;118.29;0
2004-11-01;espirito_santo;123.05;0
2004-11-01;Rio_de_Janeiro;112.98;0
2004-12-01;SC;116.22;0
2004-12-01;parana;120.1;0
2004-12-01;RS;112.28;0
2004-12-01;GO;125.93;0
2004-12-01;DF;125.93;0
2004-12-01;BA;119.54;0
2004-12-01;CE;118.53;0
2004-12-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2004-12-01;sao_paulo;117.76;0
2004-12-01;minas_gerais;119.23;0
2004-12-01;espirito_santo;123.71;0
2004-12-01;Rio_de_Janeiro;113.83;0
2005-01-01;SC;116.33;0
2005-01-01;parana;120.48;0
2005-01-01;RS;113.61;0
2005-01-01;GO;127.6;0
2005-01-01;DF;127.6;0
2005-01-01;BA;120.76;0
2005-01-01;CE;119.31;0
2005-01-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-01-01;sao_paulo;118.38;0
2005-01-01;minas_gerais;119.89;0
2005-01-01;espirito_santo;122.55;0
2005-01-01;Rio_de_Janeiro;113.67;0
2005-02-01;SC;119.64;0
2005-02-01;parana;120.11;0
2005-02-01;RS;115.36;0
2005-02-01;GO;119.95;0
2005-02-01;DF;119.95;0
2005-02-01;BA;120.08;0
2005-02-01;CE;120.07;0
2005-02-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-02-01;sao_paulo;119.57;0
2005-02-01;minas_gerais;120.25;0
2005-02-01;espirito_santo;123.32;0
2005-02-01;Rio_de_Janeiro;113.6;0
2005-03-01;SC;117.04;0
2005-03-01;parana;119.38;0
2005-03-01;RS;112.79;0
2005-03-01;GO;120.97;0
2005-03-01;DF;120.97;0
2005-03-01;BA;117.62;0
2005-03-01;CE;119.51;0
2005-03-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-03-01;sao_paulo;119.67;0
2005-03-01;minas_gerais;120.41;0
2005-03-01;espirito_santo;123.99;0
2005-03-01;Rio_de_Janeiro;114.67;0
2005-04-01;SC;118.93;0
2005-04-01;parana;122.29;0
2005-04-01;RS;115.09;0
2005-04-01;GO;121.67;0
2005-04-01;DF;121.67;0
2005-04-01;BA;116.62;0
2005-04-01;CE;119.68;0
2005-04-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-04-01;sao_paulo;121.16;0
2005-04-01;minas_gerais;121.64;0
2005-04-01;espirito_santo;124.76;0
2005-04-01;Rio_de_Janeiro;114.68;0
2005-05-01;SC;119.88;0
2005-05-01;parana;122.72;0
2005-05-01;RS;116.38;0
2005-05-01;GO;127.37;0
2005-05-01;DF;127.37;0
2005-05-01;BA;121.02;0
2005-05-01;CE;119.92;0
2005-05-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-05-01;sao_paulo;121.98;0
2005-05-01;minas_gerais;122.3;0
2005-05-01;espirito_santo;129.59;0
2005-05-01;Rio_de_Janeiro;114.63;0
2005-06-01;SC;120.67;0
2005-06-01;parana;124.56;0
2005-06-01;RS;116.67;0
2005-06-01;GO;124.67;0
2005-06-01;DF;124.67;0
2005-06-01;BA;122.6;0
2005-06-01;CE;119.69;0
2005-06-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-06-01;sao_paulo;123.35;0
2005-06-01;minas_gerais;121.57;0
2005-06-01;espirito_santo;127.89;0
2005-06-01;Rio_de_Janeiro;114.65;0
2005-07-01;SC;120.68;0
2005-07-01;parana;124.79;0
2005-07-01;RS;116.86;0
2005-07-01;GO;124.67;0
2005-07-01;DF;124.67;0
2005-07-01;BA;123.78;0
2005-07-01;CE;119.63;0
2005-07-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-07-01;sao_paulo;124.47;0
2005-07-01;minas_gerais;122.54;0
2005-07-01;espirito_santo;127.58;0
2005-07-01;Rio_de_Janeiro;114.82;0
2005-08-01;SC;121.18;0
2005-08-01;parana;125.42;0
2005-08-01;RS;117.2;0
2005-08-01;GO;129.44;0
2005-08-01;DF;129.44;0
2005-08-01;BA;123.13;0
2005-08-01;CE;119.94;0
2005-08-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-08-01;sao_paulo;125.36;0
2005-08-01;minas_gerais;123.76;0
2005-08-01;espirito_santo;128.33;0
2005-08-01;Rio_de_Janeiro;115.28;0
2005-09-01;SC;122.36;0
2005-09-01;parana;124.34;0
2005-09-01;RS;117.65;0
2005-09-01;GO;129.6;0
2005-09-01;DF;129.6;0
2005-09-01;BA;123.87;0
2005-09-01;CE;122.69;0
2005-09-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-09-01;sao_paulo;126.99;0
2005-09-01;minas_gerais;123.7;0
2005-09-01;espirito_santo;123.59;0
2005-09-01;Rio_de_Janeiro;115.24;0
2005-10-01;SC;123.29;0
2005-10-01;parana;129.26;0
2005-10-01;RS;119.1;0
2005-10-01;GO;132.03;0
2005-10-01;DF;132.03;0
2005-10-01;BA;125.61;0
2005-10-01;CE;128.66;0
2005-10-01;PE;BETS-package: Sorry. This series is not yet available. Series is empty in the BACEN databases;0
2005-10-01;sao_paulo;127.6;0
