data;estado;value;treated
2010-09-01;pe;  708299;0
2010-09-01;piaui;  165392;0
2010-09-01;rj; 1930855;0
2010-09-01;rn;  235593;0
2010-09-01;rs; 1542507;0
2010-09-01;rondonia;  201539;0
2010-09-01;rr;   36722;0
2010-09-01;sc;  905133;0
2010-09-01;sp; 7918731;0
2010-09-01;sergipe;  159018;0
2010-09-01;tocantins;  111713;0
2010-10-01;acre;   51017;0
2010-10-01;alagoas;  163494;0
2010-10-01;amapa;   40462;0
2010-10-01;amazonas;  500187;0
2010-10-01;bahia; 1011338;0
2010-10-01;ceara;  545499;0
2010-10-01;df;  426883;0
2010-10-01;es;  700364;0
2010-10-01;goias;  670769;0
2010-10-01;maranhao;  271524;0
2010-10-01;mt;  425470;0
2010-10-01;ms;  408967;0
2010-10-01;mg; 2248875;0
2010-10-01;para;  417146;0
2010-10-01;pb;  216763;0
2010-10-01;parana; 1176636;0
2010-10-01;pe;  727804;0
2010-10-01;piaui;  165469;0
2010-10-01;rj; 1931070;0
2010-10-01;rn;  248624;0
2010-10-01;rs; 1491497;0
2010-10-01;rondonia;  200889;0
2010-10-01;rr;   31861;0
2010-10-01;sc;  946050;0
2010-10-01;sp; 8030469;0
2010-10-01;sergipe;  159333;0
2010-10-01;tocantins;  100212;0
2010-11-01;acre;   55706;0
2010-11-01;alagoas;  181826;0
2010-11-01;amapa;   43435;0
2010-11-01;amazonas;  483209;0
2010-11-01;bahia; 1019717;0
2010-11-01;ceara;  552634;0
2010-11-01;df;  374475;0
2010-11-01;es;  612582;0
2010-11-01;goias;  713072;0
2010-11-01;maranhao;  254640;0
2010-11-01;mt;  493661;0
2010-11-01;ms;  413411;0
2010-11-01;mg; 2315664;0
2010-11-01;para;  471212;0
2010-11-01;pb;  232197;0
2010-11-01;parana; 1258213;0
2010-11-01;pe;  798450;0
2010-11-01;piaui;  174011;0
2010-11-01;rj; 2026912;0
2010-11-01;rn;  234779;0
2010-11-01;rs; 1580380;0
2010-11-01;rondonia;  204758;0
2010-11-01;rr;   35303;0
2010-11-01;sc;  943884;0
2010-11-01;sp; 8128681;0
2010-11-01;sergipe;  211554;0
2010-11-01;tocantins;   95698;0
2010-12-01;acre;   53216;0
2010-12-01;alagoas;  212182;0
2010-12-01;amapa;   42166;0
2010-12-01;amazonas;  475711;0
2010-12-01;bahia; 1085790;0
2010-12-01;ceara;  595579;0
2010-12-01;df;  396609;0
2010-12-01;es;  672293;0
2010-12-01;goias;  709809;0
2010-12-01;maranhao;  282313;0
2010-12-01;mt;  465834;0
2010-12-01;ms;  415631;0
2010-12-01;mg; 2314779;0
2010-12-01;para;  510946;0
2010-12-01;pb;  229339;0
2010-12-01;parana; 1312362;0
2010-12-01;pe;  860498;0
2010-12-01;piaui;  199664;0
2010-12-01;rj; 2098446;0
2010-12-01;rn;  289218;0
2010-12-01;rs; 1625469;0
2010-12-01;rondonia;  228215;0
2010-12-01;rr;   35008;0
2010-12-01;sc;  997976;0
2010-12-01;sp; 8858840;0
2010-12-01;sergipe;  169605;0
2010-12-01;tocantins;   95768;0
